Error,TK_ASSIGNOP,TK_COMMENT,TK_FIELDID,TK_ID,TK_NUM,TK_RNUM,TK_FUNID,TK_RUID,TK_WITH,TK_PARAMETERS,TK_END,TK_WHILE,TK_UNION,TK_ENDUNION,TK_DEFINETYPE,TK_AS,TK_TYPE,TK_MAIN,TK_GLOBAL,TK_PARAMETER,TK_LIST,TK_SQL,TK_SQR,TK_INPUT,TK_OUTPUT,TK_INT,TK_REAL,TK_COMMA,TK_SEM,TK_COLON,TK_DOT,TK_ENDWHILE,TK_OP,TK_CL,TK_IF,TK_THEN,TK_ENDIF,TK_READ,TK_WRITE,TK_RETURN,TK_PLUS,TK_MINUS,TK_MUL,TK_DIV,TK_CALL,TK_RECORD,TK_ENDRECORD,TK_ELSE,TK_AND,TK_OR,TK_NOT,TK_LT,TK_LE,TK_EQ,TK_GT,TK_GE,TK_NE,eps
declaration,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,TK_TYPE,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,syn,syn,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
global_or_not,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,TK_COLON,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
otherStmts,Error,Error,Error,stmt,Error,Error,Error,Error,Error,Error,Error,stmt,Error,Error,Error,Error,Error,Error,Error,Error,Error,stmt,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,stmt,Error,eps,stmt,stmt,eps,Error,Error,Error,Error,stmt,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
stmt,Error,Error,Error,assignmentStmt,Error,Error,Error,Error,Error,Error,Error,iterativeStmt,Error,Error,Error,Error,Error,Error,Error,Error,Error,funCallStmt,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,conditionalStmt,Error,syn,ioStmt,ioStmt,syn,Error,Error,Error,Error,funCallStmt,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
assignmentStmt,Error,Error,Error,singleOrRecId,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,Error,syn,syn,syn,syn,Error,Error,Error,Error,syn,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
singleOrRecId,syn,Error,Error,TK_ID,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,syn,syn,syn,syn,Error,Error,Error,Error,Error,Error,Error,syn,syn,syn,syn,syn,syn,syn
option_single_constructed,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,oneExpansion,Error,Error,eps,Error,Error,Error,Error,Error,Error,eps,eps,eps,eps,Error,Error,Error,Error,Error,Error,Error,eps,eps,eps,eps,eps,eps,eps
oneExpansion,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,TK_DOT,Error,Error,syn,Error,Error,Error,Error,Error,Error,syn,syn,syn,syn,Error,Error,Error,Error,Error,Error,Error,syn,syn,syn,syn,syn,syn,syn
moreExpansions,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,oneExpansion,Error,Error,eps,Error,Error,Error,Error,Error,Error,eps,eps,eps,eps,Error,Error,Error,Error,Error,Error,Error,eps,eps,eps,eps,eps,eps,eps
funCallStmt,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,outputParameters,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,Error,syn,syn,syn,syn,Error,Error,Error,Error,outputParameters,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
outputParameters,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_SQL,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
inputParameters,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_SQL,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
iterativeStmt,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,TK_WHILE,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,Error,syn,syn,syn,syn,Error,Error,Error,Error,syn,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
conditionalStmt,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,TK_IF,Error,syn,syn,syn,syn,Error,Error,Error,Error,syn,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
elsePart,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,Error,TK_ENDIF,syn,syn,syn,Error,Error,Error,Error,syn,Error,Error,TK_ELSE,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
ioStmt,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,Error,syn,TK_READ,TK_WRITE,syn,Error,Error,Error,Error,syn,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
arithmeticExpression,Error,Error,Error,term,term,term,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,term,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
expPrime,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,lowPrecedenceOperators,lowPrecedenceOperators,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
term,Error,Error,Error,factor,factor,factor,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,factor,syn,Error,Error,Error,Error,Error,Error,syn,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
termPrime,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,eps,eps,highPrecedenceOperators,highPrecedenceOperators,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
factor,Error,Error,Error,var,var,var,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,TK_OP,syn,Error,Error,Error,Error,Error,Error,syn,syn,syn,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
highPrecedenceOperators,Error,Error,Error,syn,syn,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_MUL,TK_DIV,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
lowPrecedenceOperators,Error,Error,Error,syn,syn,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,TK_PLUS,TK_MINUS,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
booleanExpression,Error,Error,Error,var,var,var,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_OP,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_NOT,Error,Error,Error,Error,Error,Error,Error
var,Error,Error,Error,singleOrRecId,TK_NUM,TK_RNUM,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,syn,syn,syn,syn,Error,Error,Error,Error,Error,Error,Error,syn,syn,syn,syn,syn,syn,syn
logicalOp,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_AND,TK_OR,Error,Error,Error,Error,Error,Error,Error,Error
relationalOp,Error,Error,Error,syn,syn,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_LT,TK_LE,TK_EQ,TK_GT,TK_GE,TK_NE,Error
returnStmt,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_RETURN,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
optionalReturn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_SQL,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
idList,Error,Error,Error,TK_ID,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
more_ids,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps,Error,Error,Error,Error,TK_COMMA,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,eps
definetypestmt,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,syn,syn,Error,TK_DEFINETYPE,Error,syn,Error,Error,Error,Error,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,syn,syn,syn,Error,Error,Error,Error,syn,syn,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,syn
A,Error,Error,Error,Error,Error,Error,Error,syn,Error,Error,Error,Error,TK_UNION,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,TK_RECORD,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error,Error
