	Lexeme		Line Number		Token Name		ValueIfNumber		ParentNodeSymbol		isLeafNode		NodeSymbol
	b3c45		11		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	.		11		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	physics		11		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		11		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		ioStmt		No		var
	)		11		TK_CL		(null)		ioStmt		Yes		TK_CL
	;		11		TK_SEM		(null)		ioStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	read		12		TK_READ		(null)		ioStmt		Yes		TK_READ
	---		-2		---		(null)		stmt		No		ioStmt
	(		12		TK_OP		(null)		ioStmt		Yes		TK_OP
	b3c45		12		TK_ID		(null)		singleOrRecId		Yes		TK_ID
	---		-2		---		(null)		var		No		singleOrRecId
	.		12		TK_DOT		(null)		oneExpansion		Yes		TK_DOT
	---		-2		---		(null)		option_single_constructed		No		oneExpansion
	chemistry		12		TK_FIELDID		(null)		oneExpansion		Yes		TK_FIELDID
	---		-2		---		(null)		singleOrRecId		No		option_single_constructed
	(null)		12		eps		(null)		moreExpansions		Yes		eps
	---		-2		---		(null)		option_single_constructed		No		moreExpansions
	---		-2		---		(null)		ioStmt		No		var
	)		12		TK_CL		(null)		ioStmt		Yes		TK_CL
	;		12		TK_SEM		(null)		ioStmt		Yes		TK_SEM
	---		-2		---		(null)		otherStmts		No		stmt
	---		-2		---		(null)		otherStmts		No		otherStmts
	(null)		13		eps		(null)		otherStmts		Yes		eps
